CustomerId;Sobrenome;Credit_Score;Pais;Genero;Idade;Tempo_Credito;Balance;Qtd_Produtos;Possui_Cartao;Membro_Ativo;Salario_Anual;Churn
15813451;Fleetwood-Smith;677;Spain;Male;18.0;5;134796.87;2;1.0;0.0;114858.9;0
15641688;Collier;644;Spain;Female;18.0;7;0.0;1;0.0;1.0;74564.41;0
15757821;Burgess;641;Spain;Male;18.0;1;0.0;2;0.0;1.0;41542.95;0
15673180;Onyekaozulu;826;Spain;Male;18.0;2;0.0;2;0.0;1.0;16245.25;0
15664543;Tuan;774;Spain;Female;18.0;1;185891.54;1;1.0;0.0;175072.41;0
15673180;Onyekaozulu;688;Spain;Female;18.0;2;0.0;2;1.0;0.0;98349.13;0
15641688;Collier;803;Spain;Male;18.0;6;0.0;1;0.0;0.0;59645.24;1
15672940;Yevseyev;578;Spain;Female;18.0;8;71843.15;2;0.0;1.0;112649.22;0
15694192;Nwankwo;598;Spain;Male;18.0;6;0.0;2;0.0;1.0;173783.38;0
15585867;Iroawuchi;624;Spain;Female;18.0;6;0.0;2;0.0;1.0;117038.96;0
15805764;Hallahan;636;Spain;Male;18.0;7;0.0;2;0.0;1.0;52795.56;0
15641688;Collier;644;Spain;Male;18.0;8;0.0;1;0.0;1.0;59645.24;0
15732438;Macartney;850;Spain;Female;18.0;4;151955.65;2;1.0;1.0;66799.32;0
15682778;Yobachi;556;Spain;Female;18.0;4;112203.25;1;1.0;0.0;93536.22;0
15796231;Nwankwo;681;Spain;Male;18.0;8;98894.39;1;1.0;1.0;9596.4;0
15735439;Williamson;748;Spain;Male;18.0;10;133432.59;1;0.0;1.0;59636.43;0
15642824;Onyekaozulu;639;SPAIN;Female;18.0;8;0.0;2;0.0;1.0;178373.43;0
15641675;Collier;545;Spain;Female;18.0;10;0.0;2;1.0;0.0;179964.55;0
15776844;Hao;762;Spain;Female;19.0;6;0.0;2;0.0;0.0;55500.17;1
15809991;Ferrari;630;Spain;Male;19.0;9;0.0;2;1.0;1.0;133535.29;0
15776844;Hao;762;Spain;Female;19.0;3;0.0;2;1.0;0.0;55500.17;0
15809991;Ferrari;489;Spain;Male;19.0;4;130274.22;1;1.0;1.0;133535.29;0
15741195;Okechukwu;613;Spain;Female;19.0;5;0.0;2;0.0;0.0;176903.35;0
15662865;Mancini;696;Spain;Female;19.0;8;110928.51;1;1.0;1.0;2766.63;0
15656822;Chiu;543;Spain;Female;19.0;7;0.0;2;1.0;0.0;131300.53;0
15809991;Ferrari;756;Spain;Male;19.0;4;130274.22;1;1.0;0.0;133535.99;1
15762091;He;631;SPAIN;Female;19.0;6;0.0;3;0.0;1.0;63747.51;1
15776844;Hao;626;Spain;Female;19.0;6;0.0;2;1.0;0.0;55500.17;0
15711396;Ugochukwu;473;Spain;Female;19.0;9;106866.69;2;0.0;0.0;72678.94;0
15761506;Russell;615;Spain;Male;19.0;5;0.0;1;1.0;0.0;159920.92;0
15693902;Hunt;577;Spain;Male;19.0;8;0.0;1;1.0;1.0;91036.74;0
15761506;Kent;652;Spain;Female;19.0;5;0.0;2;1.0;0.0;159920.92;0
15741195;Okechukwu;613;Spain;Female;19.0;5;0.0;1;1.0;1.0;176903.35;0
15633274;Smith;579;Spain;Male;19.0;7;0.0;2;1.0;0.0;86981.35;0
15732760;O'Connor;587;Spain;Female;19.0;8;0.0;2;1.0;1.0;185566.72;0
15761506;Russell;615;Spain;Male;19.0;5;0.0;2;0.0;0.0;159920.92;0
15712543;Nweke;755;Spain;Female;19.0;7;0.0;1;1.0;0.0;176903.35;1
15704483;Onwuamaeze;705;Spain;Male;19.0;5;0.0;2;0.0;1.0;86575.44;0
15698167;Lucchesi;593;Spain;Male;19.0;1;0.0;2;1.0;1.0;182266.01;0
15681554;Y?;634;Spain;Male;19.0;8;0.0;1;1.0;0.0;170528.71;0
15781272;McKay;478;Spain;Female;19.0;6;80922.75;1;1.0;0.0;143022.31;0
15654296;Estrada;714;Spain;Male;19.0;9;0.0;1;1.0;1.0;189641.11;0
15761506;Russell;615;Spain;Male;19.0;6;0.0;2;0.0;0.0;159920.92;0
15581280;Ts'ao;706;Spain;Female;19.0;8;0.0;2;0.0;1.0;69643.31;0
15605067;Nwachinemelu;565;Spain;Male;19.0;8;0.0;2;1.0;1.0;3453.4;0
15666652;Anayolisa;592;Spain;Female;19.0;4;0.0;2;1.0;0.0;124297.32;0
15726796;Zetticci;756;Spain;Female;19.0;1;130274.22;2;1.0;0.0;17355.36;0
15573112;Kang;602;Spain;Male;19.0;5;103907.28;1;1.0;0.0;161229.84;0
15755649;Estrada;468;Spain;Male;19.0;5;118358.68;1;0.0;0.0;135163.76;1
15654296;Estrada;754;Spain;Female;19.0;9;0.0;1;1.0;0.0;189641.11;1
15794841;Kung;739;Spain;Male;19.0;5;0.0;2;1.0;0.0;193008.52;0
15680243;Brown;652;Spain;Female;19.0;7;143390.51;1;1.0;0.0;33282.84;0
15672966;Chigozie;619;Spain;Male;20.0;2;135827.33;1;1.0;0.0;121102.9;0
15598614;Lucchesi;790;Spain;Male;20.0;8;0.0;2;1.0;1.0;168152.76;0
15649793;Lovely;658;Spain;Male;20.0;7;0.0;2;0.0;0.0;187638.34;0
15654463;Nwankwo;637;Spain;Female;20.0;2;0.0;2;1.0;1.0;143960.32;0
15761241;Hsieh;558;Spain;Female;20.0;8;0.0;2;1.0;1.0;143683.75;0
15703394;L?;613;SPAIN;Male;20.0;8;0.0;1;0.0;0.0;100618.17;0
15756118;T'ao;584;Spain;Female;20.0;8;0.0;2;1.0;1.0;110252.53;0
15726695;Hsia;601;Spain;Female;20.0;9;122446.61;2;0.0;0.0;86791.9;1
15698442;Lucchesi;637;Spain;Female;20.0;3;0.0;2;1.0;1.0;168152.76;0
15756472;Wan;597;Spain;Male;20.0;3;0.0;2;0.0;1.0;141936.1;0
